subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject05,21,100.0,120.0,1.1087,66.52,1.15,69.0,72.0,2.480000000000004,2.480000000000004,3.728202044497902
subject05,22,105.0,125.0,1.1291,67.74,1.15,69.0,69.0,1.2600000000000051,1.2600000000000051,1.8600531443755612
subject05,23,110.0,130.0,1.134,68.04,1.15,69.0,69.0,0.9599999999999937,0.9599999999999937,1.4109347442680684
subject05,24,115.0,135.0,1.1351,68.11,1.15,69.0,69.0,0.8900000000000006,0.8900000000000006,1.3067097342534144
subject05,25,120.0,140.0,1.1534,69.2,1.25,75.0,75.0,5.799999999999997,5.799999999999997,8.381502890173406
subject05,26,125.0,145.0,1.1561,69.36,1.3,78.0,78.0,8.64,8.64,12.456747404844291
subject05,27,130.0,150.0,1.1761,70.56,1.45,87.0,90.0,16.439999999999998,16.439999999999998,23.299319727891152
subject05,28,135.0,155.0,1.1666,70.0,1.45,87.0,87.0,17.0,17.0,24.285714285714285
subject05,29,140.0,160.0,1.1438,68.63,1.45,87.0,87.0,18.370000000000005,18.370000000000005,26.76672009325369
subject05,30,145.0,165.0,1.1173,67.04,1.45,87.0,99.0,19.959999999999994,19.959999999999994,29.773269689737457
subject05,31,150.0,170.0,1.0826,64.96,1.45,87.0,87.0,22.040000000000006,22.040000000000006,33.928571428571445
subject05,32,155.0,175.0,1.0698,64.19,1.1,66.0,66.0,1.8100000000000023,1.8100000000000023,2.8197538557407733
subject05,33,160.0,180.0,1.0671,64.02,1.1,66.0,63.0,1.980000000000004,1.980000000000004,3.0927835051546455
subject05,34,165.0,185.0,1.0599,63.59,1.1,66.0,57.0,2.4099999999999966,2.4099999999999966,3.789904072967442
subject05,35,170.0,190.0,1.0686,64.12,1.1,66.0,90.0,1.8799999999999955,1.8799999999999955,2.9320024953212656
subject05,36,175.0,195.0,1.069,64.14,1.1,66.0,66.0,1.8599999999999994,1.8599999999999994,2.8999064546304947
subject05,37,180.0,200.0,1.074,64.44,1.1,66.0,66.0,1.5600000000000023,1.5600000000000023,2.4208566108007488
subject05,38,185.0,205.0,1.089,65.34,1.1,66.0,66.0,0.6599999999999966,0.6599999999999966,1.0101010101010048
subject05,39,190.0,210.0,1.087,65.22,1.15,69.0,69.0,3.780000000000001,3.780000000000001,5.795768169273231
subject05,40,195.0,215.0,1.0891,65.34,1.15,69.0,84.0,3.6599999999999966,3.6599999999999966,5.601469237832869
subject05,41,200.0,220.0,1.0918,65.51,1.15,69.0,87.0,3.489999999999995,3.489999999999995,5.327430926576087
subject05,42,205.0,225.0,1.0988,65.93,1.25,75.0,57.0,9.069999999999993,9.069999999999993,13.757015015925969
subject05,43,210.0,230.0,1.1037,66.22,1.25,75.0,57.0,8.780000000000001,8.780000000000001,13.258834189066748
subject05,44,215.0,235.0,1.1028,66.17,1.25,75.0,75.0,8.829999999999998,8.829999999999998,13.344415898443401
subject05,45,220.0,240.0,1.1155,66.93,1.25,75.0,75.0,8.069999999999993,8.069999999999993,12.057373375168075
subject05,46,225.0,245.0,1.115,66.9,1.25,75.0,84.0,8.099999999999994,8.099999999999994,12.107623318385642
subject05,47,230.0,250.0,1.112,66.72,1.25,75.0,87.0,8.280000000000001,8.280000000000001,12.410071942446045
subject05,48,235.0,255.0,1.1253,67.52,0.95,57.0,54.0,-10.519999999999996,10.519999999999996,15.580568720379143
subject05,49,240.0,260.0,1.1126,66.76,0.95,57.0,57.0,-9.760000000000005,9.760000000000005,14.61953265428401
subject05,50,245.0,265.0,1.1366,68.2,0.95,57.0,57.0,-11.200000000000003,11.200000000000003,16.42228739002933
subject05,51,250.0,270.0,1.1509,69.05,0.95,57.0,57.0,-12.049999999999997,12.049999999999997,17.45112237509051
subject05,52,255.0,275.0,1.1582,69.49,1.15,69.0,72.0,-0.4899999999999949,0.4899999999999949,0.7051374298460137
subject05,53,260.0,280.0,1.1758,70.55,1.15,69.0,72.0,-1.5499999999999972,1.5499999999999972,2.1970233876683163
subject05,54,265.0,285.0,1.1674,70.05,1.15,69.0,69.0,-1.0499999999999972,1.0499999999999972,1.4989293361884328
subject05,55,270.0,290.0,1.1665,69.99,1.15,69.0,69.0,-0.9899999999999949,0.9899999999999949,1.4144877839691312
subject05,56,275.0,295.0,1.1888,71.33,1.15,69.0,69.0,-2.3299999999999983,2.3299999999999983,3.2665077807374154
subject05,57,280.0,300.0,1.2282,73.69,1.3,78.0,87.0,4.310000000000002,4.310000000000002,5.848826163658573
subject05,58,285.0,305.0,1.2454,74.72,1.3,78.0,87.0,3.280000000000001,3.280000000000001,4.389721627408996
subject05,59,290.0,310.0,1.283,76.98,1.3,78.0,78.0,1.019999999999996,1.019999999999996,1.3250194855806652
subject05,60,295.0,315.0,1.2841,77.05,1.3,78.0,78.0,0.9500000000000028,0.9500000000000028,1.2329656067488681
subject05,61,300.0,320.0,1.2779,76.67,1.3,78.0,75.0,1.3299999999999983,1.3299999999999983,1.7347071866440567
subject05,62,305.0,325.0,1.2493,74.96,1.3,78.0,75.0,3.0400000000000063,3.0400000000000063,4.055496264674502
subject05,63,310.0,330.0,1.227,73.62,1.25,75.0,93.0,1.3799999999999955,1.3799999999999955,1.874490627546856
subject05,64,315.0,335.0,1.2125,72.75,1.25,75.0,96.0,2.25,2.25,3.0927835051546393
subject05,65,320.0,340.0,1.1782,70.69,1.55,93.0,72.0,22.310000000000002,22.310000000000002,31.56033385202999
subject05,66,325.0,345.0,1.1869,71.21,1.2,72.0,72.0,0.7900000000000063,0.7900000000000063,1.1093947479286705
subject05,67,330.0,350.0,1.1633,69.8,1.2,72.0,93.0,2.200000000000003,2.200000000000003,3.151862464183385
subject05,68,335.0,355.0,1.1546,69.27,1.1,66.0,54.0,-3.269999999999996,3.269999999999996,4.720658293633602
subject05,69,340.0,360.0,1.1765,70.59,1.05,63.0,66.0,-7.590000000000003,7.590000000000003,10.75223119422015
subject05,70,345.0,365.0,1.1691,70.15,0.95,57.0,63.0,-13.150000000000006,13.150000000000006,18.745545260156813
subject05,71,350.0,370.0,1.1778,70.67,1.05,63.0,57.0,-7.670000000000002,7.670000000000002,10.853261638601955
subject05,72,355.0,375.0,1.1728,70.37,1.05,63.0,57.0,-7.3700000000000045,7.3700000000000045,10.47321301691062
subject05,73,360.0,380.0,1.137,68.22,1.1,66.0,87.0,-2.219999999999999,2.219999999999999,3.254177660510113
subject05,74,365.0,385.0,1.1253,67.52,1.4,84.0,84.0,16.480000000000004,16.480000000000004,24.407582938388632
subject05,75,370.0,390.0,1.1165,66.99,1.4,84.0,66.0,17.010000000000005,17.010000000000005,25.391849529780576
subject05,76,375.0,395.0,1.1037,66.22,1.2,72.0,93.0,5.780000000000001,5.780000000000001,8.72848082150408
subject05,77,380.0,400.0,1.099,65.94,1.2,72.0,72.0,6.060000000000002,6.060000000000002,9.190172884440404
subject05,78,385.0,405.0,1.0966,65.8,1.2,72.0,72.0,6.200000000000003,6.200000000000003,9.422492401215809
subject05,79,390.0,410.0,1.1003,66.02,1.2,72.0,72.0,5.980000000000004,5.980000000000004,9.057861254165411
subject05,80,395.0,415.0,1.1015,66.09,1.2,72.0,69.0,5.909999999999997,5.909999999999997,8.942351339083062
subject05,81,400.0,420.0,1.1134,66.8,1.15,69.0,69.0,2.200000000000003,2.200000000000003,3.293413173652699
subject05,82,405.0,425.0,1.1086,66.51,1.15,69.0,87.0,2.489999999999995,2.489999999999995,3.7437979251240336
subject06,1,0.0,20.0,1.2234,73.4,0.95,57.0,102.0,-16.400000000000006,16.400000000000006,22.343324250681203
subject06,2,5.0,25.0,1.2387,74.32,0.95,57.0,57.0,-17.319999999999993,17.319999999999993,23.304628632938638
subject06,3,10.0,30.0,1.244,74.64,0.95,57.0,60.0,-17.64,17.64,23.633440514469452
subject06,4,15.0,35.0,1.2435,74.61,0.9,54.0,54.0,-20.61,20.61,27.62364294330519
subject06,5,20.0,40.0,1.2214,73.28,0.9,54.0,54.0,-19.28,19.28,26.310043668122272
