subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject04,17,160.0,200.0,1.2484,74.91,1.25,75.0,75.0,0.09000000000000341,0.09000000000000341,0.12014417300761368
subject04,18,170.0,210.0,1.2399,74.39,1.25,75.0,75.0,0.6099999999999994,0.6099999999999994,0.8200026885334043
subject04,19,180.0,220.0,1.2566,75.4,1.25,75.0,75.0,-0.4000000000000057,0.4000000000000057,0.5305039787798483
subject04,20,190.0,230.0,1.2611,75.67,1.25,75.0,100.5,-0.6700000000000017,0.6700000000000017,0.8854235496233669
subject04,21,200.0,240.0,1.2545,75.27,1.25,75.0,100.5,-0.269999999999996,0.269999999999996,0.35870864886408405
subject04,22,210.0,250.0,1.2606,75.64,1.25,75.0,58.5,-0.6400000000000006,0.6400000000000006,0.8461131676361721
subject04,23,220.0,260.0,1.2617,75.7,1.0,60.0,60.0,-15.700000000000003,15.700000000000003,20.73976221928666
subject04,24,230.0,270.0,1.2696,76.18,0.975,58.5,84.0,-17.680000000000007,17.680000000000007,23.20819112627987
subject04,25,240.0,280.0,1.283,76.98,0.95,57.0,52.5,-19.980000000000004,19.980000000000004,25.9547934528449
subject04,26,250.0,290.0,1.2897,77.38,0.925,55.5,54.0,-21.879999999999995,21.879999999999995,28.27604032049625
subject04,27,260.0,300.0,1.2836,77.02,0.925,55.5,51.0,-21.519999999999996,21.519999999999996,27.940794598805503
subject04,28,270.0,310.0,1.2838,77.03,0.925,55.5,51.0,-21.53,21.53,27.950149292483452
subject04,29,280.0,320.0,1.2793,76.76,0.925,55.5,57.0,-21.260000000000005,21.260000000000005,27.69671704012507
subject04,30,290.0,330.0,1.282,76.92,0.925,55.5,55.5,-21.42,21.42,27.847113884555384
subject04,31,300.0,340.0,1.2846,77.07,0.95,57.0,55.5,-20.069999999999993,20.069999999999993,26.041261191124942
subject04,32,310.0,350.0,1.2891,77.35,0.975,58.5,66.0,-18.849999999999994,18.849999999999994,24.36974789915966
